coid,code,title,ger,prerequisites,description,credits
67614,FYW-1305,Uncovering Secrets of the Universe,,,"FYW (First Year Writing) What are matter and energy? What is the nature of space and time? What is the nature of knowledge? Are there limits on what can be known about the natural world? In this course students will read and discuss articles focused on questions like these while learning to describe, explain, analyze, and argue physics concepts in short essays. In addition, students will reflect on their own experience of science while studying the lives and work of men and women who were/are active physicists.",4 credits
67615,FYW-1306,Food and Identity in Latin America,,,"FYW (First Year Writing) Readings, assignments, and class discussions examine how food shapes identity in Latin America. In addition to studying the history of certain key crops, cuisines, and cultures, students will learn interpretative tools that help decode identity constructs such as race and gender. All work will be in English.",4 credits
67708,FYW-1312,Technofeminism,GER: FYW (First Year Writing Seminar),,"Students will engage with writing instruction through the process-oriented framework of “writing with purpose” to investigate the theme of feminist critiques of science and technology. Students can expect to exercise critical thinking skills through the writing, revision, and consultation processes.",4 credits
67684,FYW-1309,Artificial Intelligence in Media and Pop Culture,,,"FYW (First Year Writing) Students will consider the concept of artificial intelligence, its definition, (mis)interpretations, and speculation through media (television, print, and scientific literature).",4 credits
67617,FYW-1308,"Visualizing China: Tradition, Revolution",,,"FYW (First Year Writing) The seminar examines the cultural shift in China over the past century. Intersecting with CHN-240 on Chinese Civilization, the seminar examines the cultural transformation of modern China primarily through visual culture in various forms. Analytical strategies of visual culture will be introduced. The seminar will assign three short writing assignments and one final research project exploring the divergent and often competing ways Chinese people visualize ”traditional China.”",4 credits
67707,FYW-1311,Game On! Tabletop Play and Contemporary Culture,GER: FYW (First Year Writing Seminar),,"An exploration of tabletop games-board and card games as well as role-playing games and others-as a site for intellectual curiosity and engagement. Students will learn how to build genre literacy, research the cultural impact of games, and develop their own understanding of the serious work of play.",4 credits
67706,FYW-1310,Sustainable Furman,GER: FYW (First Year Writing Seminar),,This writing-intensive seminar will feature weekly visits to examples of sustainability in action on Furman’s campus. We will then use these weekly tours as jumping-off points for writing assignments that will allow students to explore these sustainability topics through their own writing.,4 credits
67748,FYW-1314,Portraiture at Furman,GER: FYW (First Year Writing Seminar),,"This course will analyze portraits-likenesses of specific individuals-in Furman University’s collection. Students will explore sculptures and paintings accessible on the grounds and in buildings, as well as smaller works in the Special Collections division of the James B. Duke Library. We will consider the identity of the individuals portrayed in terms of gender, race, and social status, how they relate to the institution, and how they fit within an art historical framework.",4 credits
67766,FYW-1317,Muslim Feminisms,GER: FYW (First Year Writing Seminar),,This course offers an interdisciplinary perspective on feminist and queer movements in Islamic communities by introducing students to the ways feminist activism unfolds among Muslim and queer organizations across the globe. Students will develop strength in different forms of academic writing about both written and visual texts and complete a final writing project emphasizing academic analysis and fundamental research skills.,4 credits
67749,FYW-1315,Social Media and Body Image,GER: FYW (First Year Writing Seminar),,"This seminar will explore the relationship between social media and body image, and the many ways in which social media impacts how we perceive our own and others’ bodies, as well as how our body image impacts social media usage. We will examine risk factors, protective factors as well as mediating and moderating factors of the impact of social media on body image. We will explore ways in which social media intersects with diverse racial and ethnic backgrounds, gender, and sexuality to affect body image.",4 credits
67709,FYW-1313,Four by Sondheim,GER: FYW (First Year Writing Seminar),,"In this course students will study four shows with music and lyrics by Stephen Sondheim: Company (a contemporary perspective on marriage and relationships), Assassins (a darker view of the American Experience), Into the Woods (the uses of enchantment) and Sunday in the Park with George (challenges facing the creative artist). The course will closely examine the music, lyrics, book and other production elements, including staging, costumes lighting and sets, as appropriate for each show.",4 credits
67764,FYW-1316,"Evolutionary Anthropology: Facts, Fantasy, Frauds",GER: FYW (First Year Writing Seminar),,"This course is meant to help students develop critical thinking and writing skills through close reading and argumentative writing around the topic of evolutionary anthropology. Students will write a series of essays addressing questions related to various topics, including the history of evolution in the United States, famous forgeries and hoaxes, and even bigfoot. Students will develop skills related to supporting their writing through the use of primary and secondary sources as well as films and other popular media as resources.",4 credits
67765,FYW-1318,Grassroots Movements,GER: FYW (First Year Writing Seminar),,"This First-Year Writing Seminar will analyze the different methods of communication and rhetorical strategies that grassroots organizations and social groups employ to organize a collective public in working toward a common goal. Particular emphasis will be placed on identifying and interpreting the choices in rhetorical situation and genre, modality, as well as verbal and visual content that these organizations utilize. Students will practice incorporating the writing conventions and strategies they learn about this semester in a final project that asks them to create their own digital platform and handbook for an invented grassroots movement on a social issue about which they care deeply.",4 credits
67783,FYW-1321,African American Agency in the Civil War Era,GER: FYW (First Year Writing Seminar),,"Students will explore African American agency in the mid-nineteenth century in order to develop and refine their college-level writing, critical thinking, and organizational skills through research and expository argumentative writing. Students will examine, present on, and write essays investigating themes including, but not limited to, the agency of African Americans within enslavement and their challenges to the legal system. Students will analyze and discuss how popular culture, historical institutions, and diverse audiences engage with the topic and will contribute their own ideas by writing in multiple genres.",4 credits
67767,FYW-1319,Music and the Mysteries of the Universe,GER: FYW (First Year Writing Seminar),,"This course examines the function of music in numerous esoteric cultural and intellectual traditions (i.e., worldviews that value hidden knowledge) throughout history. Using literary fiction, philosophical writings, sacred practices, and works of music as source material, we explore ways of knowing that invoke music as an agent for the transfer of experience and understanding. Students will write in a variety of genres (autobiographical reflection, compare-and-contrast, reviews, response papers, and argument) and will develop critical thinking skills by considering the role of music in numerous historical and modern traditions that reserve knowledge for a select group of people.",4 credits
67778,FYW-1320,"Leaders, Leadership, and Writing",GER: FYW (First Year Writing Seminar),,"This course examines the goals and actions of a diverse set of leaders in government, businesses, and non-profits and the ways communication strategies and practices help advance their causes. We will explore speeches, reports, memos, letters, biographies, and other sources to better understand how leaders shape attitudes and prompt actions in a diverse set of circumstances, through diverse written genres, and among a diverse set of stakeholders.",4 credits
67784,FYW-1322,From Frankenstein to WandaVision,GER: FYW (First Year Writing Seminar),,"In this FYW seminar, students draft in a workshop setting four original essays while exploring a text-set anchored in literary or pop culture versions of the Frankenstein myth. Students practice college-level essay writing and critically analyze a range of texts grounded in science fiction texts dramatizing reanimating humans, cyborgs and androids, and artificial intelligence. Students explore what it means to be human and what constitutes effective writing and different types of genres, media, and writing forms.",4 credits
67818,FYW-1323,What is a cult?,,,"In this first year writing seminar, we will learn and employ effective writing, critical thinking, and rigourous academic research in an exploration of the question “what is a cult?” While this term has typically been used to (often pejoratively) describe fringe religious movements, it has also been used to describe secular fanaticism for works of art, political movements, and even brands. We will examine historical and current use of this word–and the movements it is used to describe–in art, politics, business and pop culture, all while learning effective writing strategies and skills that will prepare you to write well in future academic and professional endeavors.",4 credits
67832,FYW-1325,Hispanic Masculinities,,,"In this seminar, students will learn skills for college-level writing through examining the social construction of masculinity in the Hispanic world. We examine concepts such as honor, shame, sexual identity, and machismo along with their correlated societal effects. Students research and analyze the topics of gender relations and sexuality and how these themes intersect with issues of race, class, and politics. We explore the construction of masculinity in specific areas such as sports (fútbol) and dance (tango, salsa, etc).",4 credits
67829,FYW-1324,Ghosts of Greenville,GER: FYW (First Year Writing Seminar),,"In this FYW seminar, students will study and practice writing and research principles through the lens of ghost stories, specifically those highlighting ghosts and haunted locations in Greenville, SC. Students will write in various genres as they engage in analysis of, research on, and argument about ghost stories. Students will learn about writing as a social and cultural activity while investigating how the ghosts of our pasts linger into our present.",4 credits
68245,FYW-1327,Health Headlines,GER: FYW (First Year Writing Seminar),,"In this writing course, students will analyze health news and media stories by comparing them to research articles to assess reporting accuracy and its health impact. Students will write and revise three types of papers: an opinion paper presenting a personal viewpoint on a health news, a critique paper evaluating the strengths and weaknesses of health-related media and research, and a research report based on original investigation. This course emphasizes critical evaluation and effective communication of health information.",4 credits
68243,FYW-1326,Cultural Narratives in Reality TV,GER: FYW (First Year Writing Seminar),,"This writing seminar investigates the high-stakes world of competition reality shows like RuPaul’s Drag Race , Survivor , Big Brother , and The Bachelor . While often viewed casually as mere entertainment, these programs reflect cultural values, illuminate social problems, and shape public perception in ways that extend far beyond the television screen. Through a combination of critical analysis, research-based writing, and creative projects, students will explore how competition reality shows shape public discourse on social dynamics, power, individualism, identity, and fame.",4 credits
68270,FYW-1328,Men & Masculinities,,,"FYW (First Year Writing) This FYW course will introduce students to the practice of academic writing and research through an exploration of topics related to men and masculinities. Students will write in a variety of genres and learn the basics of scholarly research as they investigate different theoretical approaches to masculinity, diverse ideals and experiences of what it means to be a man, and critical arguments about the ways masculinity needs to change.",4 credits
68247,FYW-1330,The Impact of the College Environment on Health,GER: FYW (First Year Writing Seminar),,"This course will incorporate perspectives from public health, psychology, sociology, and education to examine how college environments affect health. It will emphasize developing students’ writing, critical thinking, and rhetorical skills, using the topic of health in the college environment as a context. While a conventional departmental course focuses on discipline-specific content, this class is interdisciplinary, writing-intensive, and tailored to help first-year students develop academic writing skills while exploring how their new college environment impacts their health.",4 credits
67274,GGY-265,Geography and Sports,,,"Intersection of geography and sports with particular attention to the increasing globalization of sports worldwide. Focus will be primarily on baseball, basketball, and soccer, but will also explore a number of other modern sports. Cultural impact of modern sports, the diffusion of sport around the world, the economic impact of sports internationally, and struggle in finding spaces for recreational activities. May Experience ONLY.",2 credits
67344,GGY-501,Independent Study,,,Variable credit.,
67273,GGY-230,Principles of Geography,GER: NE (Humans and the Natural Environment),,Regional examination of the complex relationship between humans and the environment in an increasingly globalized world. Focus on interconnections between diverse regions of the world.,4 credits
66330,GRK-201,Intermediate Greek,GER: FL (Foreign Language),GRK-120,"Reading and interpretation of writings from the Classical Greek authors and the Greek New Testament. Topics include new vocabulary, review of basic grammar and introduction of new grammar, guidance in translation and comprehension of moderately difficult Greek.",4 credits
66328,GRK-110,Elementary Greek,,,"Introduction to the fundamentals of fifth century Attic Greek. Topics include: pronunciation, basic vocabulary, grammar and syntax, practice in reading basic Greek. Material is adapted from classical texts and cultivates an appreciation of Greek literature and culture.",4 credits
67600,GRK-305,Ancient Greek: Analytical Approaches,,,"TA (Analysis of Texts) GRK 201 or Permission of Instructor Scholarly analysis of ancient Greek texts, their style, themes, interconnections, and transmission history. Continued development of language skills while analyzing texts and publishing data using both traditional approaches and new technologies. 4",
66329,GRK-120,Elementary Greek II,GER: FL (Foreign Language) for students seeking the Bachelor of Science degree ONLY,GRK-110,"Continuation of GRK-111. Topics include: continued study of vocabulary, grammar and syntax; reading more difficult Greek; gaining greater appreciation of Greek literature and culture.",4 credits
66331,GRK-310,Greek New Testament,"GER: TA (Critical, Analytical Interpretations of Texts)",GRK-201,"Selected readings from the Greek New Testament and other texts in koine Greek, with particular attention to the differences in idiom between Attic and koine Greek.",4 credits
67620,GRK-315,Ancient Greek: Translation & Research,,,"WR (Writing/Research Intensive) GRK-201 or placement Close readings of Ancient Greek texts, focusing on approaches to translation, and production of original scholarship. Repeatable with change of topic.",4 credits
67630,GRK-325,Ancient Greek: Intensive Readings,,,"TA (Analysis of Texts) GRK-201 or permission of instructor Reading substantial passages from Ancient Greek texts, focusing on vocabulary-building, content and themes. Repeatable with change of topic.",4 credits
66333,GRK-331,Greek Epic,"GER: TA (Critical, Analytical Interpretations of Texts)",GRK-201,"Selected readings from Homer: Iliad or Odyssey. Attention is paid to differences between Epic and Attic idiom, poetic features (e.g. metrics, figures of speech), ancient scholarship on Homeric poetry, and the influence of Greek epic on later Western epic poetry. Course may be repeated once with change of author or topic. Course may be repeated once with change of author or topic.",4 credits
66334,GRK-332,Greek Drama,"GER: TA (Critical, Analytical Interpretations of Texts)",GRK-201,"Readings from Aeschylus, Sophocles, Euripides, or Aristophanes. Attention paid to the evolution of Greek drama and the authors’ places within that evolution. Course may be repeated once with a change of author or topic. Course may be repeated once with a change of author or topic.",4 credits
66332,GRK-320,Koine and Hellenistic Greek,,GRK-201,"Selected readings from biblical, early Christian, and secular literature from 300 B.C. to 200 A.D. Course may be repeated for credit based on change of topic.",4 credits
66792,GRM-110,Elementary German I,,appropriate placement,"Introduction to the sound system and grammatical structure necessary to develop listening, speaking, reading, and writing skills in German. An appreciation of German-speaking culture underlies the orientation of the course.",4 credits
66794,GRM-201,Intermediate German I,GER: FL (Foreign Language),GRM-120 or appropriate placement,"Continuation of the development of proficiency in listening and speaking, while expanding the reading and writing skills using materials of a literary or cultural nature.",4 credits
66335,GRK-333,Greek Prose,"GER: TA (Critical, Analytical Interpretations of Texts)",GRK-201,"Readings from Herodotus, Plato, or Thucydides. Attention paid to advanced grammar, rapid comprehension, and scholarly interpretation of the text. Course may be repeated once with change of author or topic. Course may be repeated once with change of author or topic.",4 credits
66336,GRK-504,Directed Independent Study,,GRK-201 Variable credit.,,
66793,GRM-120,Elementary German II,GER: FL (Foreign Language) for students seeking the Bachelor of Science degree ONLY,GRM-110,"Continuation of the skills (speaking, listening, reading, writing) developed in German 110, with increased emphasis on vocabulary expansion, idiomatic expression, and cultural differences.",4 credits
66797,GRM-220,German Civilization,GER: FL (Foreign Language),at least one German course numbered 200 or greater or appropriate placement,Advanced intermediate level introduction to the culture and civilization of the major German speaking areas of Europe. The goal is an understanding and appreciation of contemporary civilization and its historical development.,4 credits
66800,GRM-207,German Language House,,at least one German course numbered 120 or greater or placement into GRM 201 or higher,"The fall semester German Language House provides students with an immersive experience in the language they are studying without having to leave campus. Student residents commit to using the target language in all their interactions with members of the House, to attending activities planned by the Language House Assistant and the faculty supervisor, and to completing reflections on language usage or culture. Activities will vary and may include speakers, community engagement, cultural outings, and dining together. Applications available through the Housing portal.",1 credit
66796,GRM-215,Composition and Conversation,GER: FL (Foreign Language),at least one German course numbered 200 or greater or appropriate placement,"Emphasis on idiomatic expression through guided oral and writtn practice. Review of basic phonology, grammar and syntax included.",4 credits
66798,GRM-222,Contemporary Germany,,at least one German course numbered 200 or greater,Travel study course focusing on the culture and civilization of Germany. May Experience ONLY.,2 credits
66801,GRM-208,German Language House,,at least one German course numbered 120 or greater or placement into GRM 201 or higher,"The spring semester German Language House provides students with an immersive experience in the language they are studying without having to leave campus. Student residents commit to using the target language in all their interactions with members of the House, to attending activities planned by the Language House Assistant and the faculty supervisor, and to completing reflections on language usage or culture. Activities will vary and may include speakers, community engagement, cultural outings, and dining together. Applications available through the Housing portal.",1 credit
68246,GRM-240,Introduction to German Comics and Graphic Novels,GER: FL (Foreign Language),GRM 201 or a placement score of 210+ or higher.,"This course examines the historical, social, and literary influences and effects on graphic novels from Germany and Austria. Students will learn to analyze the form and function of graphic novels and to link them to broader social and historical discourses. The course is taught in German.",4 credits
66799,GRM-230,Specialized Readings in German,,at least one German course numbered 200 or greater,"Introduction to the technical language of various fields in the natural sciences, social sciences, or the humanities. Offerings have included biology, business, chemistry, philosophy, and psychology.",4 credits
67567,GRM-261,Preparation for German Internships,,at least one German course numbered 200 or greater,"This course prepares students for an internship in Germany. German faculty will work with students on business correspondence in German, locating an internship in Germany or with a German company, developing a German CV, a German cover letter, and other aspects of the application process.",1 credit
66795,GRM-223,Introduction to German Readings,GER: FL (Foreign Language),at least one German course numbered 200 or greater,"Builds upon and further enhances the basics developed through the first intermediate course. Reading numerous short works of fiction and nonfiction and through discussions and short written assignments in German, expanding the critical listening, speaking, reading, writing, vocabulary and cultural skills necessary for further study.",4 credits
67479,GRM-260,German for the Professions,,at least two German courses numbered 200 or greater,"Linguistic and cultural aspects of working for German companies in the US and abroad. Skill building important for navigating the workplace including, but not limited to, German resumes, business letters, and communication during interviews.",4 credits
67568,GRM-315,Urban Life in Germany,,at least one German course numbered 200 or greater,"Exploration of the history, local cultural practices, local art and architecture, regional significance, as well as social structures and communities of three German cities.",2 credits
66803,GRM-305,Advanced German Oral and Written Expression,,at least two German courses numbered 200 or greater,"Advanced study to perfect spoken and written German. Emphasis is on expository, persuasive and rhetorical communication; on advanced grammar usage and syntax; and on precision in the production of phonemes and intonational patterns.",4 credits
66805,GRM-320,Travel Study German Culture,,at least one German course numbered 200 or greater,Understanding and appreciation of various art and architecture forms. Special emphasis on the German speaking world. Part of the study away curriculum in Germany.,4 credits
66804,GRM-310,Theatre and Film in Berlin,GER: VP (Visual and Performing Arts),at least one German course numbered 200 or greater,Exploration of the institutions and instantiations of theater and film in the cultural crucible of Berlin. Part of the study away curriculum in Germany.,4 credits
66802,GRM-301,Travel Study German Language,,at least one German course numbered 200 or greater,Emphasis on German idiomatic expression in speech and writing. Part of the study away curriculum in Germany.,4 credits
66810,GRM-335,German Poetry,"GER: TA (Critical, Analytical Interpretation of Texts) and WR (Writing-Research Intensive)",at least two German courses numbered 200 or greater,Poetry by authors from all periods and movements of German literature. The goal is a basic understanding of the development of German poetry and a sensitivity to and appreciation of the poem as an artistic expression.,4 credits
66807,GRM-332,German Literature since 1750,"GER: TA (Critical, Analytical Interpretation of Texts)",at least two German courses numbered 201 or greater,Survey providing initial exposure to the development of German literature from the Enlightenment to the present. Students read representative texts by major authors of the various literary periods and movements.,4 credits
66806,GRM-331,German Literature until 1750,,at least two German courses numbered 200 or greater,Survey of the development of Germanic literature from its earliest examples up to the Enlightenment. Primary emphasis on German literature with the reading of numerous representative texts.,4 credits
66809,GRM-334,From Rubble to Reunification: 1945-1990,"GER: TA (Critical, Analytical Interpretation of Texts)",at least two German courses numbered 200 or greater,"Introduction of major issues in German culture since 1945, including the Stunde Null, the economic miracle, the generation 468, RAF, the East German experience, reunification and beyond. Issues explored through a variety of media, including literature, film, art/photography, pop music.",4 credits
66808,GRM-333,Modernity and Crisis: German Culture 1900-1945,"GER: TA (Critical, Analytical Interpretation of Texts)",at least two German courses numbered 200 or greater,"Introduces students to major issues in German culture during the period up to and including World War I, the Weimar Republic, and the Nazi era. These issues are explored through a variety of media: literature, art, film, print media, architecture of the city, among others. Students apply methods of cultural studies to explore issues through essays and oral presentations.",4 credits
66814,GRM-405,Introduction to German Linguistics,GER: HB (Empirical Study of Human Behavior),at least two German courses numbered 200 or greater,"Introduction to the concept of German as a modern, evolving human language. German as a synchronic phenomenon with emphases on phonology, morphology, syntax, and sociolinguistic and regional varieties as well as a diachronic phenomenon utilizing a chronological and cultural survey of the development of German from its earliest forms.",4 credits
66813,GRM-338,History of German Cinema,GER: VP (Visual and Performing Arts),at least two German courses numbered 200 or greater,"A study of the diverse history of German film from 1919 to present including German Expressionism, Nazi Cinema, rubble films, New German Cinema, East German Cinema and post-wall productions.",4 credits
66812,GRM-337,German Theater,GER: VP (Visual and Performing Arts),at least two German courses numbered 200 or greater,"Introduction to the major dramatists of the nineteenth and twentieth centuries and to drama as a literary form and a sociological, philosophical, and cultural reflection of the times. In addition to reading representative texts, the evolution of dramatic theory and techniques is discussed.",4 credits
66811,GRM-336,German Fairy Tale,"GER: TA (Critical, Analytical Interpretation of Texts)",at least two German courses numbered 200 or greater,Focus on the evolution of the fairy tale as a literary form in the nineteenth and twentieth centuries. Selected authors whose works represent the best examples of this genre will be presented.,4 credits
66815,GRM-414,Age of Goethe,"GER: TA (Critical, Analytical Interpretation of Texts)",at least two German courses numbered 200 or greater,Introduction to the literature and culture of the classical period in German literary history from 1750 to 1832. Appreciation for the development of great classical writers during an in-depth study of the major works produced in this period.,4 credits
66817,GRM-430,Readings in German Language,"GER: TA (Critical, Analytical Interpretation of Texts)",at least two German courses numbered 200 or greater,"In-depth focus on a period, movement, author, or genre. Offerings in the past have been post-1945 German literature and the literature and culture of the Weimar Republic. May be repeated for credit based on change of topic.",4 credits
66816,GRM-415,German Romanticism,,at least two German courses numbered 200 or greater,Detailed study of the principal literary figures and works of literature during the early nineteenth century in Germany. Focus on the origins of various characteristics of Romanticism and the ramifications of this movement in other fields and in later periods of German literature.,4 credits
66818,GRM-466,Nazi Cinema and Culture,,at least two German courses numbered 200 or greater,"Exploration of the history and the aesthetics of fascist cinema focused on Nazi Germany. During the years between the Nazis’ rise to power in 1933 and the end of World War II in 1945, cinema was part and parcel of the fascist state, leading some critics to speculate whether the “Third Reich” was perhaps “movie-made.” Analysis of productions, such as Leni Riefenstahl’s Triumph of the Will and Veit Harlan’s Jud Suess, their functions, (pre-)histories and their afterlives.",4 credits
66819,GRM-470,Senior Seminar in German,,at least two German courses numbered 200 or greater,"The opportunity to address a topic, period, author, or genre in depth. The student is provided a chance to synthesize the experience of previous course work in a research project.",4 credits
67385,GRM-503,Individualized Internship,,,"Individualized internships are typically developed by seniors and juniors and approved by a faculty member in the German section. General objectives for the internship experience are to provide exceptional German students with an opportunity to use German language skills in a professional setting and to offer students additional preparation and training for future endeavors. In addition, students, together with their on site supervisor and faculty sponsor, will develop a list of objectives for the specific internship, maintain a log and reflective journal, meet weekly with the faculty member in person or virtually, submit an academic paper at the conclusion of the internship related to their internship work, and summarize their activities orally in German for their faculty supervisor or for a larger audience as a scholarly presentation. Fifty hours of on-site activities per credit. Cannot be completed through the pass-no pass grading option. Only",4 credits
67384,GRM-505,Structured Internship,,,"Internships at sites approved by a faculty member in the German section to provide students with an opportunity to use German language skills in a professional setting and offer additional preparation and training for postgraduate work or study. Students, primarily seniors and juniors, together with their on-site supervisor and faculty sponsor, will develop a list of specific objectives for the internship, work approximately 200 hours each at their site, attend a weekly seminar to discuss their work and related literature, maintain a log and reflective journal, submit an academic paper at the conclusion of the internship related to their internship work, and summarize their activities orally in German for their seminar. This course may be completed only once and the pass-no pass grading option cannot be selected. Only",4 credits
66820,GRM-504,Directed Independent Study,,,Variable credit.,
67464,HSC-075,Seminar in Public Health,,Declared Public Health Major,"The seminar is designed to understand and analyze key issues in public health research and practice. Topics include contemporary public health issues, the relevance and intersection of multiple disciplines on public health, and skills needed to impact the health of the population.",0 credits
66565,HSC-101,Wellness Concepts,GER: MB (Mind & Body),,"Wellness concepts which promote lifetime fitness and healthy lifestyle habits. Topics include: aerobic and muscular conditioning, nutrition, and medical aspects of fitness. Participation in activities to develop cardio-respiratory endurance, muscular strength and endurance, and flexibility.",4 credits
68561,HSC-001,Basic Life Support,,HSC-101 and (Health Sciences or Public Health Major).,"BLS Course is designed for healthcare professionals and other personnel who need to know how to perform CPR and other basic cardiovascular life support skills in a wide variety of in-facility and prehospital settings. The course trains participants to promptly recognize several life-threatening emergencies, give high-quality chest compressions, deliver appropriate ventilations and provide early use of an AED. Concurrent with HSC-201 Research and Evaluation in Health Sciences. Pass/Np pass.",0 Credits
66570,HSC-210,Anatomy and Physiology I,,HSC-101 and declared Health Sciences or Public Health major,"An integrative study of the structure and function of the following body systems: skeletal, muscular, nervous, cardiovascular, and respiratory. The integration of structural and functional aspects of the human body will be facilitated by the use of anatomical models, interactive computer software, and data collection and analysis. It is recommended that this course be enrolled early in the major. It is recommended that this course be enrolled early in the major.",4 credits
66576,HSC-205,Fundamentals of Public Health,,,"An introduction to the academic discipline of public health, including the sub-disciplines of health care systems and disease epidemiology. Emphasis on the theory, planning, implementation and evaluation process for public health interventions.",4 credits
66566,HSC-151,Current Issues in Public Health,,HSC-101,"An examination of major public health issues of regional, national and international concern at the time of the course offering. Topics may vary from year to year. Emphasis will be given to behavioral and policy interventions. May Experience ONLY.",2 credits
66569,HSC-201,Research and Evaluation in Health Sciences,GER: HB (Empirical Study of Human Behavior),HSC-101 and declared Health Sciences or Public Health major,"Principles of research relevant to health and exercise science focusing on study design, measurement, and statistical techniques used in the analysis and interpretation of data from population based and human performance studies. Statistical software functions and communication techniques are included. It is recommended that this course be enrolled early in the major. It is recommended that this course be enrolled early in the major.",4 credits
67656,HSC-102,Mindfulness for Stress Reduction and Wellness,,,"MB (Mind and Body) This experiential course is an introduction to the science and application of mindfulness meditation and mindful physical activity. Topics also include stress physiology and research on the effects of mindfulness-based interventions on physical and mental health and well-being. Students will learn the principles and practices of mindfulness-based stress reduction including meditation and mindful physical activity. Students will learn how to incorporate mindfulness practices into their lives to reduce stress, improve resilience and enhance wellbeing.",4 credits
67583,HSC-215,World Sports & Public Health,,HSC-101 and declared Health Sciences or Public Health major,"Examination of how world sport events impact public health and how public health interventions on individual, community, and policy levels influence athletics within various cultures. The course will delve deeper in a country-specific context through the study-away component.",4 credits
66573,HSC-230,Analysis of Human Performance,,HSC-101 and declared Health Sciences or Public Health major,"Laboratory techniques for the assessment of the anatomical, cardiorespiratory, neuromuscular and anthropometric components of human movement with an emphasis on the underlying physics and physiology of human motion. Separate laboratory component required. Successful completion of HSC-201 Research and Evaluation in Health Sciences recommended.",4 credits
66574,HSC-242,Scientific Principles of Coaching,,HSC-101 and declared Health Sciences or Public Health major,Concepts of physical conditioning from the theoretical to practical application of program design. Lectures cover current theories of training; discussions engage students in case studies and labs provide opportunities for testing and preparing athletes.,4 credits
66572,HSC-221,Motor Development and Learning,GER: HB (Empirical Study of Human Behavior),HSC-101 and declared Health Sciences or Public Health major,"Principles of growth and development as related to neuromuscular integration and motor learning. Topics include: skill acquisition, skill refinement and adaptation of techniques for special populations. Laboratory experience in motor development included as well as work with atypical clients in the exercise science setting.",4 credits
66571,HSC-211,Anatomy and Physiology II,,HSC-210 and declared Health Sciences or Public Health major,"Continuation of HSC-210. An integrative study of the structure and function of the following body systems: endocrine, lymphatic, digestive, urinary, reproductive, integumentary. The integration of structural and functional aspects of the human body will be facilitated by the use of anatomical models, interactive computer software, and data collection and analysis. Students may not receive credit for BIO-322 after successful completion.",4 credits
66575,HSC-244,Scientific Principles of Training,,HSC-101 and declared Health Sciences or Public Health major,The science of designing effective exercise programs for generally healthy populations and necessary modifications for individuals with manageable disease states. Includes understanding and implementing pre-exercise evaluation and fitness testing.,4 credits
67599,HSC-300,Chronic Disease: Epidemiology and Prevention,,HSC-101 and declared Health Sciences or Public Health major,"This course focuses on the distribution, etiology, and prevention of chronic diseases. Three major categories of common chronic diseases will be emphasized (cardiovascular diseases, cancers, and respiratory diseases). Current strategies for primary, secondary, and tertiary prevention will be discussed. Both U.S. and global perspectives will be included.",4 credits
67768,HSC-250,Applied Sports Science,,,This course will use physiological and biomechanical properties to descriptively analyze sports performances ranging from World Record performances (100m dash) to tests of sports performance (Ironman Triathlon) from readily available data from these performances. MayX only.,2 credits
66579,HSC-304,Environmental Health,GER: NE (Humans and the Natural Environment),HSC-201 and declared Health Sciences or Public Health major,"An overview of major environmental health issues, including air quality, municipal and hazardous waste, cancer and radiation, drinking water quality, wastewater, agriculture and foodborne illness, environmental justice, and susceptible populations. The use of risk assessment and toxicology as the scientific basis for policy decisions will be discussed. Exploration of emerging environmental health problems in industrialized and developing countries will be included.",4 credits
66577,HSC-302,Physical Activity and Public Health,,HSC-101 and HSC-205 and declared Health Sciences or Public Health major,Regular physical activity has long been regarded as an important component of a healthy lifestyle. Scientific evidence links regular activity to a wide array of physical and mental benefits. Examination of the well-documented public health implications associated with leading an active lifestyle.,4 credits
67410,HSC-307,"Health Systems, Services and Policy Administration",,HSC-101 and HSC-205 and declared Health Sciences or Public Health major,"An overview of health systems and services delivery in the United States, including organization and financing of health care, health insurance practices, primary and long-term care. Topics include: managed care; influencing, regulating, and monitoring the health care system. Federal health policy and future trends in health care are also discussed.",4 credits
67346,HSC-306,Nutrition and Public Health,,HSC-205 and declared Health Sciences or Public Health major,"Nutrition assessment methodology and resources available to guide nutrient and dietary intake of individuals and populations. Exploration of public health nutrition interventions at the individual, community and national levels.",4 credits
66582,HSC-313,Fundamentals of Physical Rehabilitation,,HSC-210 and declared Health Sciences or Public Health major,Prevention and management of athletic injuries.,4 credits
66581,HSC-311,Physiology of Exercise,GER: NWL (Empirical Study of the Natural World with laboratory),HSC-210 and declared Health Sciences or Public Health major,"Concepts and laboratory experiments concerning the mechanisms by which the human body functions, with special reference to the effects of acute and chronic exercise. Not open to freshmen.",4 credits
66580,HSC-305,Global Public Health,GER: WR (Writing-Research Intensive) and WC (World Cultures),HSC-201 and HSC-205 and declared Health Sciences or Public Health major,"An introduction to the basic principles of public health as they apply to populations across the world including an exploration of the major determinants of, and responses to, poverty and health in low- and middle-income countries.",4 credits
66586,HSC-332,Graded Exercise Test Practicum,,HSC-101 and declared Health Sciences or Public Health major,"Practicum experience in laboratory for assessing cardiac and respiratory function, exercise capacity, body structure and composition via techniques of electrocardiography, impedance cardiography, spirometry, graded exercise testing, anthropometry, densitometry, etc. Successful completion of HSC-201 recommended.",4 credits
