name,short_name,slug,status,visibility,category_names,description,summary
Furman University Libraries,,furmanuniversitylibraries,Active,Public,,"Why are our libraries among the top ranked in the nation for student satisfaction? We seek to engage, enlighten, and empower our students and provide them with the resources and services to excel in their studies. Whether you're researching the work of a 19th century artist or seeking the latest finding in a cell biology journal, Furman's library system can help. Our friendly and knowledgeable librarians are devoted to student learning and research support. They can help navigate our collection of more than one million resources, including books, e-books, journals, films, music, images and electronic databases. The centerpiece of the library system is the James B. Duke Library, which houses more than 600,000 volumes. Take advantage of our Special Collections to find unique historical documents, photographs and artifacts or browse for digital versions of some of these resources through the Digital Collections Center. If you’re looking for specialized libraries located closer to your classes, visit the Sanders Science Library or the Maxwell Music Library. With so many options available, it’s no surprise that our libraries are a frequent destination for studying, meeting friends, conducting research, and enjoying campus events. JAMES B. DUKE LIBRARY With everything from a 24-hour study room to a wealth of academic resources, our main library is the intellectual center of the university. Study with us. SPECIAL COLLECTIONS AND ARCHIVES Browse photographs, manuscripts, artifacts, and books that document the history of Furman, South Carolina Baptists, notable local poets, and the Upstate. DIGITAL COLLECTIONS CENTER Explore over 50,000 unique digital resources online. We provide access to photographs, books, oral histories, videos, manuscripts, and more. Go digital. MAXWELL MUSIC LIBRARY The Robert J. Maxwell Music Media Center and Library offers a wealth of resources that other schools our size simply don't have. Listen in our music library. SANDERS SCIENCE LIBRARY Looking for resources, expert help, or a great place to study? The science library will help you bridge your education between the classroom and lab. Conduct research.","Furman University is a school driven by academics and has amazing resources to support our students, including three libraries, digital collection, and special collections"
Furman University Linguistics Club,FULingo,linguisticsclub,Active,Public,Academic,"Willkommen, Bienvenue, Bienvenidos, χαῖρε, よろしくお願いいたします, whatever language fits your style: Welcome to Linguistics Club, the place for all things language or linguistics! Linguistics Club welcomes students of all disciplines who are interested in studying the languages of the world, or even from out of this world. Come join us for regular meetings, conlanging events, discussion of interesting linguistic phenomena, and more!","/wɛlkəm lɪŋɡwɪsts/! If linguistics or anything language interests you, please consider joining Linguistics Club!"
Furman University Men's Rugby,Furman Rugby,furman-univeristy-men-s-rugby,Active,Public,Atheltics;Club Sports,"With 3 national championships and 7 conference championships all in the last 15 years, Furman Men's Rugby is without doubt the most successful club sport at Furman. Furman Rugby welcomes any athletic students to join the brotherhood and play this adrenaline-pumping sport.","With 3 national championships and 7 conference championships all in the last 10 years, Furman Men's Rugby is without doubt the most successful club sport at Furman. Furman Rugby welcomes any athletic students to join the brotherhood."
Furman University Middle Eastern North African Club,F.U. MENA,syncdin,Active,Public,Diversity and Inclusion;Student Diversity Council Organizations,"Cultural Awareness and Education: FU MENA will organize events, workshops, and lectures that shed light on the various cultures and traditions within the MENA region. This not only benefits our members but also enriches the overall cultural awareness of the Furman community. By learning about the customs, languages, art, and cuisines of this region, our organization will help bridge cultural gaps and promote a more inclusive campus environment. Fostering Inclusivity: Our organization is committed to creating an inclusive space for all students, regardless of their backgrounds. By celebrating the diversity within the MENA region, we provide an opportunity for students to engage with and appreciate different perspectives, ultimately fostering a more inclusive campus community. Community Engagement: FU MENA will actively engage with the larger community through cultural events, volunteering, and collaborative initiatives. By connecting with local organizations and businesses, we hope to strengthen Furman's ties with the broader community while also showcasing the importance of intercultural dialogue and cooperation. Religious and Spiritual Understanding: While FU MENA is not primarily a religious organization, the MENA region is home to various religious traditions, including Islam, Christianity, Judaism, and others. We aim to provide a platform for open and respectful discussions about religion and spirituality in the context of the MENA region, contributing to a vibrant religious and spiritual community at Furman.","F.U. MENA is to spread awareness about the MENA region. We will showcase the food, dance, and music of the MENA region. Join our GroupMe using this link: https://groupme.com/join_group/97632235/lfYYfOeA"
Furman University Model United Nations,FUMUN,fumun,Active,Public,Academic;Political,,"FUMUN allows students to act as delegates to learn about, discuss, and debate current global issues."
Furman University Music Composition Society,Music Composition Society,musiccompositionsociety,Active,Public,Fine Arts,"The purpose of the Music Composition Society is to create a space and community centered around music composition that can include composition majors, other music-majors who take composition lessons or classes, or non-majors who are simply interested in the art of composition. The organization will meet to discuss ongoing composers’ pieces in both composition lessons and seminars, broad discussions of composition processes, and ways to support each other in our musical ventures. Other goals include connecting Furman composers both locally with Furman alumni composers, or non-alumni composers in the area, as well as contacting composers abroad who may already be visiting Furman or would be willing to travel. Finally, the organization will promote outreach that engages and inspires the local area in the art of composition.","The Music Composition Society fosters a community for composers, regardless of which music major, if any. We discuss works, composition processes, and support each other. Goals include networking with composers and promoting composition outreach."
Furman University News Channel,FUNC,func,Active,Public,Media,"The Furman University News Channel, or FUNC, is a news and announcements show for campus. We produce student media that highlights all of the events and organizations at Furman, and publish our content to Furman Cable Channel 20, YouTube, Instagram, , our website (www.cantstopthefunc.com), and our mobile app (Furman Now).",FUNC is an organization for Furman student-produced television. Our principle aims are to foster the collaborative education of students with interests in broadcast communications and television production and to produce daily video content for campus.
Furman University News Channel Radio,FUNC Radio,func-radio,Active,Public,Media;Special Interest,Furman took to the airwaves in 1940 when alumnus and trustee Roger C. Peace provided the university with its first studio. Today we're FUNC Radio! A radio by the students for the students. You can find us on the Live365 app or website.,Furman took to the airwaves in 1940 when alumnus and trustee Roger C. Peace provided the university with its first studio. Today we're FUNC Radio! A radio by the students for the students. You can find us on the Live365 app.
Furman University Office of Spiritual Life,,spirituallife,Active,Public,University Department/Office,"For many, college may be the first time you're exploring faith away from home. We're here to act as a sounding board for whatever questions you might have. Maybe you've grown up in one faith but have always been curious about another, or maybe you didn't grow up in a particular faith tradition and want to know how to start the conversation. Maybe you want to talk with someone about how what you've learned from your church, temple, mosque, or synagogue connect with what you're learning in class. Whatever your faith questions might be, we're glad to ask them with you. We host lectures and discussions around topics of spiritual growth and social justice and are the home base for all Campus Ministries and Religious Groups. Our Exploration of Vocation and Ministry program offers an open and diverse community to reflect upon vocation through bi-weekly peer-group meetings and internships in fields of ministry or nonprofit work or whatever your calling may be.","Our purpose is to help you grow more deeply in your own spiritual journey as you ask the questions we all face about life, calling, and what matters most to us."
Furman University Outdoors Club,FUOC,furman-university-outdoors-club,Active,Public,Programmatic;Student Government and Class Pages,"Exploration. Fear. Triumph. Beauty. It is the mission of the Furman University Outdoors Club (FUOC) to create and support a community of students aimed at experiencing the natural world. To join our mailing list and stay in the know on such experiences, press the ""Join"" button on this page. To sign up for trips and become a member, go to rec.furman.edu",Exploration. Fear. Triumph. Beauty. It is the mission of the Furman University Outdoors Club (FUOC) to create and support a community of students aimed at experiencing the natural world.
Furman University Pauper Players,Pauper Players,pauper-players,Active,Public,Fine Arts,"The purpose of Furman Pauper Players is to perform high-quality musical theatre productions at Furman University and to provide motivated students of any major or background with the opportunity to sharpen their skills in leadership, communication, performance, cooperation, and responsibility. Our mission is to make musical theatre accessible for all students regardless of their major or level of experience.",Pauper Players is Furman's fully student-run musical theatre organization. Pauper Players performs two full main stage musicals each year along with smaller cabaret-style performances throughout the year. Pauper Players is open to students of all majors.
